year,type,count
2038,SIZE_3_INC_VERY_HIGH,47330
2038,SIZE_4_INC_VERY_HIGH,40579
2039,SIZE_1_INC_LOW,18260
2039,SIZE_2_INC_LOW,212
2039,SIZE_3_INC_LOW,60
2039,SIZE_4_INC_LOW,10
2039,SIZE_1_INC_MEDIUM,94862
2039,SIZE_2_INC_MEDIUM,8075
2039,SIZE_3_INC_MEDIUM,1241
2039,SIZE_4_INC_MEDIUM,298
2039,SIZE_1_INC_HIGH,25032
2039,SIZE_2_INC_HIGH,43281
2039,SIZE_3_INC_HIGH,5525
2039,SIZE_4_INC_HIGH,3923
2039,SIZE_1_INC_VERY_HIGH,1412
2039,SIZE_2_INC_VERY_HIGH,61794
2039,SIZE_3_INC_VERY_HIGH,46499
2039,SIZE_4_INC_VERY_HIGH,39769
2040,SIZE_1_INC_LOW,18517
2040,SIZE_2_INC_LOW,248
2040,SIZE_3_INC_LOW,54
2040,SIZE_4_INC_LOW,8
2040,SIZE_1_INC_MEDIUM,94422
2040,SIZE_2_INC_MEDIUM,8119
2040,SIZE_3_INC_MEDIUM,1252
2040,SIZE_4_INC_MEDIUM,291
2040,SIZE_1_INC_HIGH,24899
2040,SIZE_2_INC_HIGH,42981
2040,SIZE_3_INC_HIGH,5432
2040,SIZE_4_INC_HIGH,3821
2040,SIZE_1_INC_VERY_HIGH,1551
2040,SIZE_2_INC_VERY_HIGH,61441
2040,SIZE_3_INC_VERY_HIGH,45588
2040,SIZE_4_INC_VERY_HIGH,39011
2041,SIZE_1_INC_LOW,18662
2041,SIZE_2_INC_LOW,241
2041,SIZE_3_INC_LOW,60
2041,SIZE_4_INC_LOW,8
2041,SIZE_1_INC_MEDIUM,94344
2041,SIZE_2_INC_MEDIUM,8109
2041,SIZE_3_INC_MEDIUM,1243
2041,SIZE_4_INC_MEDIUM,286
2041,SIZE_1_INC_HIGH,24800
2041,SIZE_2_INC_HIGH,42679
2041,SIZE_3_INC_HIGH,5385
2041,SIZE_4_INC_HIGH,3703
2041,SIZE_1_INC_VERY_HIGH,1626
2041,SIZE_2_INC_VERY_HIGH,60987
2041,SIZE_3_INC_VERY_HIGH,44599
2041,SIZE_4_INC_VERY_HIGH,38365
2042,SIZE_1_INC_LOW,18844
2042,SIZE_2_INC_LOW,228
2042,SIZE_3_INC_LOW,59
2042,SIZE_4_INC_LOW,5
2042,SIZE_1_INC_MEDIUM,94232
2042,SIZE_2_INC_MEDIUM,8152
2042,SIZE_3_INC_MEDIUM,1196
2042,SIZE_4_INC_MEDIUM,269
2042,SIZE_1_INC_HIGH,24669
2042,SIZE_2_INC_HIGH,42396
2042,SIZE_3_INC_HIGH,5433
2042,SIZE_4_INC_HIGH,3681
2042,SIZE_1_INC_VERY_HIGH,1695
2042,SIZE_2_INC_VERY_HIGH,60414
2042,SIZE_3_INC_VERY_HIGH,43920
2042,SIZE_4_INC_VERY_HIGH,37496
2043,SIZE_1_INC_LOW,19118
2043,SIZE_2_INC_LOW,259
2043,SIZE_3_INC_LOW,57
2043,SIZE_4_INC_LOW,6
2043,SIZE_1_INC_MEDIUM,94160
2043,SIZE_2_INC_MEDIUM,8140
2043,SIZE_3_INC_MEDIUM,1142
2043,SIZE_4_INC_MEDIUM,258
2043,SIZE_1_INC_HIGH,24531
2043,SIZE_2_INC_HIGH,41825
2043,SIZE_3_INC_HIGH,5448
2043,SIZE_4_INC_HIGH,3610
2043,SIZE_1_INC_VERY_HIGH,1809
2043,SIZE_2_INC_VERY_HIGH,60085
2043,SIZE_3_INC_VERY_HIGH,43020
2043,SIZE_4_INC_VERY_HIGH,36918
2044,SIZE_1_INC_LOW,19144
2044,SIZE_2_INC_LOW,233
2044,SIZE_3_INC_LOW,47
2044,SIZE_4_INC_LOW,5
2044,SIZE_1_INC_MEDIUM,93618
2044,SIZE_2_INC_MEDIUM,8173
2044,SIZE_3_INC_MEDIUM,1063
2044,SIZE_4_INC_MEDIUM,249
2044,SIZE_1_INC_HIGH,24367
2044,SIZE_2_INC_HIGH,41675
2044,SIZE_3_INC_HIGH,5389
2044,SIZE_4_INC_HIGH,3511
2044,SIZE_1_INC_VERY_HIGH,1905
2044,SIZE_2_INC_VERY_HIGH,59582
2044,SIZE_3_INC_VERY_HIGH,42239
2044,SIZE_4_INC_VERY_HIGH,36252
2045,SIZE_1_INC_LOW,19209
2045,SIZE_2_INC_LOW,228
2045,SIZE_3_INC_LOW,52
2045,SIZE_4_INC_LOW,4
2045,SIZE_1_INC_MEDIUM,93415
2045,SIZE_2_INC_MEDIUM,8116
2045,SIZE_3_INC_MEDIUM,1007
2045,SIZE_4_INC_MEDIUM,238
2045,SIZE_1_INC_HIGH,24156
