person,household,autos,avs,homeZone,jobZone,timeCar
1468541,2128091,2,1,4818,4876,9.683536155456544
679825,2128093,2,2,904,870,6.5728156781311045
2047924,2128093,2,2,904,2113,67.44882616308594
91,2128095,2,2,2103,2322,25.038570422851564
640015,2128095,2,2,2103,1147,49.96996503686524
2639338,2128162,2,2,2909,4573,32.38224146325684
459071,2128162,2,2,2909,1862,9.315075824157715
4286970,2128163,2,2,662,1237,29.192679789184574
2848506,2128163,2,2,662,3805,52.00631761206055
3948798,2128167,2,2,2082,2084,2.8400338096313478
2521769,2128167,2,2,2082,1178,32.18132395214844
770096,2128168,2,2,3879,3876,2.825522411010742
4708879,2128169,2,2,3375,2974,23.071522619140627
4853113,2128169,2,2,3375,1885,6.804840887390137
1495925,2128170,1,1,4780,4832,3.648499278747559
