year,type,count
2037,SIZE_2_INC_MEDIUM,343087
2037,SIZE_3_INC_MEDIUM,41187
2037,SIZE_4_INC_MEDIUM,10492
2037,SIZE_1_INC_HIGH,872694
2037,SIZE_2_INC_HIGH,555447
2037,SIZE_3_INC_HIGH,122718
2037,SIZE_4_INC_HIGH,41741
2037,SIZE_1_INC_VERY_HIGH,267978
2037,SIZE_2_INC_VERY_HIGH,1562429
2037,SIZE_3_INC_VERY_HIGH,1314089
2037,SIZE_4_INC_VERY_HIGH,1363174
2038,SIZE_1_INC_LOW,728654
2038,SIZE_2_INC_LOW,126482
2038,SIZE_3_INC_LOW,10118
2038,SIZE_4_INC_LOW,1904
2038,SIZE_1_INC_MEDIUM,952675
2038,SIZE_2_INC_MEDIUM,349011
2038,SIZE_3_INC_MEDIUM,39627
2038,SIZE_4_INC_MEDIUM,9213
2038,SIZE_1_INC_HIGH,898631
2038,SIZE_2_INC_HIGH,566530
2038,SIZE_3_INC_HIGH,120534
2038,SIZE_4_INC_HIGH,37616
2038,SIZE_1_INC_VERY_HIGH,271347
2038,SIZE_2_INC_VERY_HIGH,1595534
2038,SIZE_3_INC_VERY_HIGH,1331134
2038,SIZE_4_INC_VERY_HIGH,1362141
2039,SIZE_1_INC_LOW,754331
2039,SIZE_2_INC_LOW,128329
2039,SIZE_3_INC_LOW,9592
2039,SIZE_4_INC_LOW,1629
2039,SIZE_1_INC_MEDIUM,980035
2039,SIZE_2_INC_MEDIUM,354205
2039,SIZE_3_INC_MEDIUM,37978
2039,SIZE_4_INC_MEDIUM,8082
2039,SIZE_1_INC_HIGH,923733
2039,SIZE_2_INC_HIGH,577292
2039,SIZE_3_INC_HIGH,118675
2039,SIZE_4_INC_HIGH,33844
2039,SIZE_1_INC_VERY_HIGH,273913
2039,SIZE_2_INC_VERY_HIGH,1630169
2039,SIZE_3_INC_VERY_HIGH,1346714
2039,SIZE_4_INC_VERY_HIGH,1361659
2040,SIZE_1_INC_LOW,779952
2040,SIZE_2_INC_LOW,130162
2040,SIZE_3_INC_LOW,8994
2040,SIZE_4_INC_LOW,1412
2040,SIZE_1_INC_MEDIUM,1009005
2040,SIZE_2_INC_MEDIUM,358945
2040,SIZE_3_INC_MEDIUM,36622
2040,SIZE_4_INC_MEDIUM,7025
2040,SIZE_1_INC_HIGH,949508
2040,SIZE_2_INC_HIGH,588321
2040,SIZE_3_INC_HIGH,116653
2040,SIZE_4_INC_HIGH,30458
2040,SIZE_1_INC_VERY_HIGH,276632
2040,SIZE_2_INC_VERY_HIGH,1662765
2040,SIZE_3_INC_VERY_HIGH,1362126
2040,SIZE_4_INC_VERY_HIGH,1361428
2041,SIZE_1_INC_LOW,806421
2041,SIZE_2_INC_LOW,131852
2041,SIZE_3_INC_LOW,8435
2041,SIZE_4_INC_LOW,1230
2041,SIZE_1_INC_MEDIUM,1038971
2041,SIZE_2_INC_MEDIUM,363779
2041,SIZE_3_INC_MEDIUM,35436
2041,SIZE_4_INC_MEDIUM,6193
2041,SIZE_1_INC_HIGH,973989
2041,SIZE_2_INC_HIGH,598356
2041,SIZE_3_INC_HIGH,114235
2041,SIZE_4_INC_HIGH,27389
2041,SIZE_1_INC_VERY_HIGH,278714
2041,SIZE_2_INC_VERY_HIGH,1696919
2041,SIZE_3_INC_VERY_HIGH,1375403
2041,SIZE_4_INC_VERY_HIGH,1361913
2042,SIZE_1_INC_LOW,832598
2042,SIZE_2_INC_LOW,133301
2042,SIZE_3_INC_LOW,7807
2042,SIZE_4_INC_LOW,1097
2042,SIZE_1_INC_MEDIUM,1069177
2042,SIZE_2_INC_MEDIUM,367708
2042,SIZE_3_INC_MEDIUM,34294
2042,SIZE_4_INC_MEDIUM,5552
2042,SIZE_1_INC_HIGH,999853
2042,SIZE_2_INC_HIGH,607562
2042,SIZE_3_INC_HIGH,112300
2042,SIZE_4_INC_HIGH,24605
2042,SIZE_1_INC_VERY_HIGH,281273
2042,SIZE_2_INC_VERY_HIGH,1730735
2042,SIZE_3_INC_VERY_HIGH,1388106
2042,SIZE_4_INC_VERY_HIGH,1362850
2043,SIZE_1_INC_LOW,858287
2043,SIZE_2_INC_LOW,134234
2043,SIZE_3_INC_LOW,7277
2043,SIZE_4_INC_LOW,923
2043,SIZE_1_INC_MEDIUM,1099998
2043,SIZE_2_INC_MEDIUM,372304
2043,SIZE_3_INC_MEDIUM,33238
2043,SIZE_4_INC_MEDIUM,5036
2043,SIZE_1_INC_HIGH,1025594
2043,SIZE_2_INC_HIGH,616727
2043,SIZE_3_INC_HIGH,110375
2043,SIZE_4_INC_HIGH,22265
2043,SIZE_1_INC_VERY_HIGH,283487
2043,SIZE_2_INC_VERY_HIGH,1763182
2043,SIZE_3_INC_VERY_HIGH,1400822
2043,SIZE_4_INC_VERY_HIGH,1363684
2044,SIZE_1_INC_LOW,884799
2044,SIZE_2_INC_LOW,135344
2044,SIZE_3_INC_LOW,6807
2044,SIZE_4_INC_LOW,804
2044,SIZE_1_INC_MEDIUM,1130837
2044,SIZE_2_INC_MEDIUM,375958
2044,SIZE_3_INC_MEDIUM,31975
2044,SIZE_4_INC_MEDIUM,4501
2044,SIZE_1_INC_HIGH,1052793
2044,SIZE_2_INC_HIGH,625439
2044,SIZE_3_INC_HIGH,108462
2044,SIZE_4_INC_HIGH,20502
2044,SIZE_1_INC_VERY_HIGH,285335
2044,SIZE_2_INC_VERY_HIGH,1795421
2044,SIZE_3_INC_VERY_HIGH,1413504
2044,SIZE_4_INC_VERY_HIGH,1364514
2045,SIZE_1_INC_LOW,910151
2045,SIZE_2_INC_LOW,136125
2045,SIZE_3_INC_LOW,6393
2045,SIZE_4_INC_LOW,665
2045,SIZE_1_INC_MEDIUM,1162221
2045,SIZE_2_INC_MEDIUM,379115
2045,SIZE_3_INC_MEDIUM,31091
2045,SIZE_4_INC_MEDIUM,4238
2045,SIZE_1_INC_HIGH,1079442
2045,SIZE_2_INC_HIGH,633456
2045,SIZE_3_INC_HIGH,106509
2045,SIZE_4_INC_HIGH,18780
2045,SIZE_1_INC_VERY_HIGH,286364
2045,SIZE_2_INC_VERY_HIGH,1829385
2045,SIZE_3_INC_VERY_HIGH,1425753
2045,SIZE_4_INC_VERY_HIGH,1365355
2046,SIZE_1_INC_LOW,935928
2046,SIZE_2_INC_LOW,136997
2046,SIZE_3_INC_LOW,6022
2046,SIZE_4_INC_LOW,585
2046,SIZE_1_INC_MEDIUM,1195007
2046,SIZE_2_INC_MEDIUM,381954
2046,SIZE_3_INC_MEDIUM,30496
2046,SIZE_4_INC_MEDIUM,4026
2046,SIZE_1_INC_HIGH,1107559
2046,SIZE_2_INC_HIGH,641042
2046,SIZE_3_INC_HIGH,104343
2046,SIZE_4_INC_HIGH,17532
2046,SIZE_1_INC_VERY_HIGH,287352
2046,SIZE_2_INC_VERY_HIGH,1863007
2046,SIZE_3_INC_VERY_HIGH,1437271
2046,SIZE_4_INC_VERY_HIGH,1366335
2047,SIZE_1_INC_LOW,958960
2047,SIZE_2_INC_LOW,137142
2047,SIZE_3_INC_LOW,5663
2047,SIZE_4_INC_LOW,509
2047,SIZE_1_INC_MEDIUM,1230210
2047,SIZE_2_INC_MEDIUM,385043
2047,SIZE_3_INC_MEDIUM,29658
2047,SIZE_4_INC_MEDIUM,3748
2047,SIZE_1_INC_HIGH,1135019
2047,SIZE_2_INC_HIGH,647903
2047,SIZE_3_INC_HIGH,102401
2047,SIZE_4_INC_HIGH,16876
2047,SIZE_1_INC_VERY_HIGH,287606
2047,SIZE_2_INC_VERY_HIGH,1897370
2047,SIZE_3_INC_VERY_HIGH,1448393
2047,SIZE_4_INC_VERY_HIGH,1367330
2048,SIZE_1_INC_LOW,982393
2048,SIZE_2_INC_LOW,136935
2048,SIZE_3_INC_LOW,5386
2048,SIZE_4_INC_LOW,466
2048,SIZE_1_INC_MEDIUM,1265069
2048,SIZE_2_INC_MEDIUM,387420
2048,SIZE_3_INC_MEDIUM,28977
2048,SIZE_4_INC_MEDIUM,3541
2048,SIZE_1_INC_HIGH,1162758
2048,SIZE_2_INC_HIGH,655153
2048,SIZE_3_INC_HIGH,100096
2048,SIZE_4_INC_HIGH,16174
2048,SIZE_1_INC_VERY_HIGH,288305
2048,SIZE_2_INC_VERY_HIGH,1932150
2048,SIZE_3_INC_VERY_HIGH,1459429
2048,SIZE_4_INC_VERY_HIGH,1368940
2049,SIZE_1_INC_LOW,1006473
2049,SIZE_2_INC_LOW,136943
2049,SIZE_3_INC_LOW,5095
2049,SIZE_4_INC_LOW,446
2049,SIZE_1_INC_MEDIUM,1300325
2049,SIZE_2_INC_MEDIUM,389495
2049,SIZE_3_INC_MEDIUM,28330
2049,SIZE_4_INC_MEDIUM,3410
2049,SIZE_1_INC_HIGH,1190516
2049,SIZE_2_INC_HIGH,661969
2049,SIZE_3_INC_HIGH,98800
2049,SIZE_4_INC_HIGH,15547
2049,SIZE_1_INC_VERY_HIGH,288586
2049,SIZE_2_INC_VERY_HIGH,1967165
2049,SIZE_3_INC_VERY_HIGH,1470175
2049,SIZE_4_INC_VERY_HIGH,1370177
