year,region,vacants
2016,865,8859
2016,866,2647
2016,867,525
2016,868,1378
2016,700,350
2016,240,526
2016,850,950
2016,431,1151
2016,424,1349
2016,796,176
2016,480,748
2016,798,208
2016,428,459
2016,484,1128
2016,844,6102
2016,367,1441
2016,414,205
2016,298,1524
2016,779,473
2016,490,85
2016,804,155
2016,639,195
2016,728,142
2016,709,164
2016,777,1001
2016,422,555
2016,649,285
2016,420,257
2016,845,508
2016,270,187
2016,788,151
2016,710,847
2016,331,575
2016,376,90
2016,429,381
2016,160,137
2016,165,621
2016,178,1217
2016,369,1912
2016,648,95
2016,393,634
2016,164,378
2016,706,787
2016,259,1445
2016,328,755
2016,416,688
2016,486,2081
2016,822,382
2016,483,255
2016,815,165
2016,711,327
2016,635,243
2016,800,339
2016,645,185
2016,444,161
2016,433,198
2016,461,869
2016,392,409
2016,824,62
2016,170,238
2016,220,364
2016,485,451
2016,187,44
2016,222,702
2016,785,181
2016,687,84
2016,708,863
2016,174,764
2016,478,609
2016,783,169
2016,302,175
2016,611,168
2016,616,366
2016,781,156
2016,248,879
2016,772,195
2016,260,609
2016,446,367
2016,184,111
2016,807,384
2016,438,339
2016,791,77
2016,778,836
2016,258,412
2016,685,40
2016,650,126
2016,443,794
2016,440,308
2016,505,479
2016,816,286
2016,830,89
2016,439,815
2016,161,86
2016,418,313
2016,407,274
2016,707,383
2016,412,215
2016,391,264
2016,491,348
2016,427,218
2016,441,80
2016,803,124
2016,370,426
2016,408,92
2016,436,314
2016,612,61
2016,186,163
2016,262,230
2016,684,108
2016,718,127
2016,200,163
2016,801,416
2016,812,200
2016,432,202
2016,257,224
2016,253,684
2016,173,668
2016,268,200
2016,423,546
2016,677,307
2016,638,234
2016,395,213
2016,795,339
2016,482,383
2016,678,146
2016,717,20
2016,722,67
2016,434,161
2016,366,1295
2016,705,137
2016,252,52
2016,182,151
2016,712,319
2016,714,220
2016,851,248
2016,430,171
2016,613,224
2016,394,255
2016,838,112
2016,266,84
2016,162,236
2016,493,129
2016,646,95
2016,683,101
2016,805,404
2016,375,242
2016,158,585
2016,421,132
2016,419,91
2016,869,297
2016,487,214
2016,221,87
2016,799,71
2016,409,193
2016,776,230
2016,374,455
2016,181,308
2016,682,157
2016,847,468
2016,792,193
2016,279,114
2016,809,27
2016,793,249
2016,640,215
2016,787,75
2016,379,166
2016,729,130
2016,849,103
2016,823,278
2016,330,168
2016,870,65
2016,396,184
2016,417,47
2016,264,52
2016,180,145
2016,435,154
2016,347,155
2016,226,93
2016,185,149
2016,410,265
2016,855,75
2016,856,76
2016,806,83
2016,794,308
2016,159,293
2016,251,90
2016,425,133
2016,198,106
2016,193,104
2016,238,203
2016,846,89
2016,829,99
2016,767,16
2016,197,147
2016,647,102
2016,810,88
2016,426,94
2016,826,78
2016,189,39
2016,489,113
2016,479,121
2016,300,211
2016,715,151
2016,378,160
2016,789,114
2016,255,70
2016,643,106
2016,195,86
2016,802,240
2016,716,62
2016,411,104
2016,263,37
2016,642,238
2016,481,271
2016,163,80
2016,179,278
2016,445,96
2016,727,61
2016,721,73
2016,183,239
2016,373,150
2016,201,169
2016,719,51
2016,371,111
2016,842,33
2016,680,132
2016,814,102
2016,415,72
2016,853,91
2016,437,100
2016,608,99
2016,720,100
2016,188,52
2016,679,48
2016,256,176
2016,194,75
2016,269,242
2016,442,89
2016,843,155
2016,681,44
2016,837,55
2016,267,86
2016,797,70
2016,813,42
2016,852,99
2016,413,98
2016,368,131
2016,390,81
2016,265,73
2016,377,326
2016,191,29
2016,171,32
2016,447,76
2016,818,70
2016,848,102
2016,780,47
2016,492,101
2016,773,52
2016,644,56
2016,811,44
2016,713,139
2016,609,24
2016,819,73
2016,808,78
2016,249,66
2016,782,51
2016,827,32
2016,225,64
2016,294,34
2016,751,7
2016,199,37
2016,784,73
2016,854,104
2016,825,68
2016,254,58
2016,372,5
2016,724,28
2016,750,8
2016,723,60
2016,686,71
2016,726,45
2016,192,14
2016,768,11
2016,725,7
2016,190,27
2016,196,11
2016,365,19
2016,261,18
2016,610,8
2016,747,6
2016,250,9
2016,786,26
2016,243,6
2016,821,6
2016,831,2
2017,1,16743
2017,2,16691
2017,3,17765
2017,4,23141
2017,5,19786
2017,6,19120
2017,7,21278
2017,8,22912
2017,9,23119
2017,10,23387
2017,11,24197
2017,12,26492
2017,13,12691
2017,14,6006
2017,15,7520
2017,16,7273
2017,17,7589
2017,18,8062
2017,19,9016
2017,20,10418
2017,21,7948
2017,22,9450
2017,23,9408
2017,24,10526
2017,25,4504
2017,26,9261
2017,27,7205
2017,28,9168
2017,29,11520
2017,30,10144
2017,31,12074
2017,32,9573
2017,33,14831
2017,34,9110
2017,35,15714
2017,36,14967
2017,37,11435
2017,38,3022
2017,39,8209
2017,40,7895
2017,41,11850
2017,42,15285
2017,43,12136
2017,44,9128
2017,45,10092
2017,46,3602
2017,47,5972
2017,48,5537
2017,49,9109
2017,50,8590
2017,51,9454
2017,52,7623
2017,53,8077
2017,54,8282
2017,55,7576
2017,56,10992
2017,57,9250
2017,58,7977
2017,59,11790
2017,60,8735
2017,61,6847
2017,62,8934
2017,63,9118
2017,64,7922
2017,65,9772
2017,66,7206
2017,67,6488
2017,68,12735
2017,69,13386
2017,70,8503
2017,71,8228
2017,72,14163
2017,73,26440
2017,74,5044
2017,75,9148
2017,76,36594
2017,77,31085
2017,78,14199
2017,79,27566
2017,80,22589
2017,81,27140
2017,82,34933
2017,83,8403
2017,84,9622
2017,85,10605
2017,86,15516
2017,87,15123
2017,88,14203
2017,89,35344
2017,90,1549
2017,91,1399
2017,92,2283
2017,93,2750
2017,94,4820
2017,95,5593
2017,96,6940
2017,97,6367
2017,98,5410
2017,99,17398
2017,100,19337
2017,101,17719
2017,102,2742
2017,103,13810
2017,104,15954
2017,105,24947
2017,106,4165
2017,107,16361
2017,108,26005
2017,109,5334
2017,110,4089
2017,111,4205
2017,112,5902
2017,113,7522
2017,114,7184
2017,115,8998
2017,116,6980
2017,117,20238
2017,118,24099
2017,119,34492
2017,120,24443
2017,121,16420
2017,122,27961
2017,123,12106
2017,124,15672
2017,125,23770
2017,126,25988
2017,127,15060
2017,128,23995
2017,129,18964
2017,130,24121
2017,131,13651
2017,132,16200
2017,133,12993
2017,134,12488
2017,135,12188
2017,136,13443
2017,137,10340
2017,138,15413
2017,139,7503
2017,140,3715
2017,141,3884
2017,142,4237
2017,143,9311
2017,144,9129
2017,145,7120
2017,146,5668
2017,147,2565
2017,148,2881
2017,149,730
2017,150,1446
2017,151,2624
2017,152,768
2017,153,694
2017,154,861
2017,155,1630
2017,156,2965
2017,157,2896
2017,166,1694
2017,167,2868
2017,168,2050
2017,169,4284
2017,172,227
2017,175,4738
2017,176,6309
2017,177,264
2017,202,5103
2017,203,4930
2017,204,4714
2017,205,5228
2017,206,2289
2017,207,4062
2017,208,2902
2017,209,2184
2017,210,3825
2017,211,1833
2017,212,4222
2017,213,2797
