year,event,count
2048,RenovationEvent,10981446
2048,MarriageEvent,120798
2048,EmploymentEvent,419038
2048,DivorceEvent,38034
2048,MigrationEvent,206144
2048,LicenseEvent,146621
2049,BirthEvent,109962
2049,DeathEvent,366532
2049,MoveEvent,589589
2049,LeaveParentsEvent,50440
2049,DemolitionEvent,6446
2049,BirthDayEvent,20614198
2049,ConstructionEvent,209548
2049,RenovationEvent,11184569
2049,MarriageEvent,121483
2049,EmploymentEvent,420726
2049,DivorceEvent,38759
2049,MigrationEvent,214108
2049,LicenseEvent,145575
