year,age,men,women
2019,43,6203,7027
2019,44,6065,7461
2019,45,5958,7546
2019,46,7722,7261
2019,47,7346,6709
2019,48,7269,7757
2019,49,6992,8562
2019,50,6211,6611
2019,51,5602,6358
2019,52,5811,6797
2019,53,5547,6974
2019,54,5563,6277
2019,55,5758,6410
2019,56,4211,4583
2019,57,5882,6967
2019,58,5384,6854
2019,59,4946,5766
2019,60,5422,5414
2019,61,5388,5943
2019,62,5184,6233
2019,63,5709,7363
2019,64,5587,6843
2019,65,5721,6821
2019,66,5854,6925
2019,67,5666,7672
2019,68,5764,6878
2019,69,6414,6563
2019,70,5604,7656
2019,71,6612,8408
2019,72,6782,7537
2019,73,7717,8421
2019,74,8196,9155
2019,75,6787,8817
2019,76,3810,4632
2019,77,3826,4788
2019,78,4193,5787
2019,79,4272,5216
2019,80,3855,5387
2019,81,4153,5031
2019,82,2742,4664
2019,83,2451,4040
2019,84,2619,3676
2019,85,2541,4392
2019,86,2234,4199
2019,87,1830,3375
2019,88,1355,2815
2019,89,1567,2869
2019,90,1178,2355
2019,91,902,1933
2019,92,742,1718
2019,93,511,1300
2019,94,404,1039
2019,95,227,667
2019,96,189,592
2019,97,95,433
2019,98,90,278
2019,99,40,209
2019,100,64,339
2020,0,2198,2197
2020,1,2299,2066
2020,2,2230,2266
2020,3,2408,2317
2020,4,2488,2388
2020,5,2549,2389
2020,6,2488,2470
2020,7,2705,2499
2020,8,2721,2516
2020,9,2762,2537
2020,10,2777,2648
2020,11,4404,4154
2020,12,3645,3920
2020,13,3160,2540
2020,14,1853,1820
2020,15,1950,1620
2020,16,1612,1900
2020,17,2026,2019
2020,18,2540,2451
2020,19,2023,2507
2020,20,2604,2690
2020,21,4481,4559
2020,22,4449,4575
2020,23,4708,5387
2020,24,5073,5342
2020,25,5646,5787
2020,26,5224,5492
2020,27,5010,4954
2020,28,5452,5355
2020,29,4309,4445
2020,30,3053,3046
2020,31,3400,4622
2020,32,3763,4206
2020,33,3730,4091
2020,34,4209,4100
2020,35,4980,5072
2020,36,4598,5363
2020,37,5708,4652
2020,38,4816,4576
2020,39,4662,5662
2020,40,4429,5929
2020,41,5282,6383
2020,42,5276,5283
2020,43,6206,6082
2020,44,6219,7058
2020,45,6102,7487
2020,46,5969,7570
2020,47,7738,7274
2020,48,7363,6737
2020,49,7279,7780
2020,50,6988,8574
2020,51,6221,6627
2020,52,5603,6381
2020,53,5806,6814
2020,54,5548,6984
2020,55,5555,6301
2020,56,5730,6412
2020,57,4206,4584
2020,58,5851,6971
2020,59,5361,6843
2020,60,4934,5764
2020,61,5381,5412
2020,62,5349,5937
2020,63,5159,6240
2020,64,5661,7354
2020,65,5526,6826
2020,66,5677,6804
2020,67,5770,6903
2020,68,5587,7617
2020,69,5684,6845
2020,70,6305,6515
2020,71,5497,7603
2020,72,6473,8322
2020,73,6635,7479
2020,74,7524,8357
2020,75,7949,9045
2020,76,6548,8680
2020,77,3661,4553
2020,78,3667,4696
2020,79,4016,5633
2020,80,4062,5074
2020,81,3640,5175
2020,82,3879,4809
2020,83,2527,4424
2020,84,2249,3779
2020,85,2331,3443
2020,86,2249,4086
2020,87,1952,3807
2020,88,1581,3009
2020,89,1157,2480
2020,90,1307,2469
2020,91,951,2011
2020,92,725,1598
2020,93,584,1423
2020,94,382,1020
2020,95,295,814
2020,96,159,500
2020,97,138,428
2020,98,73,318
2020,99,47,184
2020,100,61,359
2021,0,2337,2129
2021,1,2207,2200
2021,2,2305,2076
2021,3,2241,2280
2021,4,2416,2328
2021,5,2496,2395
2021,6,2559,2397
2021,7,2501,2480
2021,8,2718,2509
2021,9,2730,2525
2021,10,2776,2550
2021,11,2794,2655
2021,12,4418,4160
2021,13,3656,3921
2021,14,3166,2546
2021,15,1861,1824
2021,16,1950,1622
2021,17,1622,1907
2021,18,2034,2026
2021,19,2544,2464
2021,20,2036,2516
2021,21,2618,2704
2021,22,4499,4576
2021,23,4464,4595
2021,24,4714,5404
2021,25,5094,5369
2021,26,5668,5814
2021,27,5246,5504
2021,28,5038,4975
2021,29,5471,5367
2021,30,4323,4456
2021,31,3067,3065
2021,32,3414,4638
2021,33,3773,4224
2021,34,3742,4101
2021,35,4225,4120
2021,36,5002,5092
2021,37,4615,5380
2021,38,5737,4671
2021,39,4830,4600
2021,40,4670,5680
2021,41,4449,5958
2021,42,5288,6402
2021,43,5291,5307
2021,44,6231,6101
2021,45,6229,7077
2021,46,6106,7516
2021,47,5985,7590
2021,48,7735,7280
2021,49,7370,6744
2021,50,7283,7798
2021,51,6988,8579
2021,52,6216,6648
2021,53,5587,6405
2021,54,5797,6818
2021,55,5544,6982
2021,56,5537,6303
2021,57,5704,6412
2021,58,4201,4597
2021,59,5840,6958
2021,60,5329,6825
2021,61,4908,5756
2021,62,5337,5397
2021,63,5293,5922
2021,64,5108,6234
2021,65,5612,7325
2021,66,5468,6786
2021,67,5604,6760
2021,68,5672,6864
2021,69,5501,7574
2021,70,5590,6797
2021,71,6176,6463
2021,72,5389,7544
2021,73,6315,8244
2021,74,6463,7388
2021,75,7310,8239
2021,76,7713,8913
2021,77,6299,8494
2021,78,3500,4449
2021,79,3507,4554
2021,80,3790,5432
2021,81,3817,4881
2021,82,3425,4919
